id,totalwhite,totalppl,over65,total65
270530260202,832,1303,308,1303
270530260203,973,2017,251,2017
270530260211,1252,1409,84,1409
270530260212,2513,2857,349,2857
270530260221,3186,4295,286,4295
270530260222,963,1153,92,1153
270530260223,1323,1570,130,1570
270530261011,1194,1467,334,1467
270530261012,1018,1068,260,1068
270530261013,742,807,95,807
270530261031,818,1012,208,1012
270530261032,1476,1776,368,1776
270530261041,1159,1304,269,1304
270530261042,980,1751,315,1751
270530261043,941,1116,199,1116
270530262011,1157,1200,267,1200
270530262012,1937,2077,296,2077
270530262021,1037,1087,263,1087
270530262022,1418,1746,284,1746
270530262051,681,761,179,761
270530262052,1027,1116,118,1116
270530262053,1214,1304,154,1304
270530262061,1007,1185,193,1185
